date,fund,company,ticker,cusip,shares,market value($),weight(%)
3/11/2021,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,2730161.0,25390497.3,0.26
3/11/2021,ARKG,SEER INC,SEER,81578P106,457329.0,22294788.75,0.23
3/11/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,3960681.0,21942172.74,0.22
3/11/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,3138492.0,17324475.84,0.18
3/11/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,323356.0,3844702.84,0.04
3/11/2021,ARKG,ALPHABET INC-CL A,GOOGL,02079K305,810.0,1701437.4,0.02
3/11/2021,ARKK,TESLA INC,TSLA,88160R101,3755015.0,2627008494.0,10.68
3/11/2021,ARKK,SQUARE INC - A,SQ,852234103,6524134.0,1577013670.48,6.41
3/11/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,7020815.0,1395527397.55,5.67
3/11/2021,ARKK,ROKU INC,ROKU,77543R102,3792112.0,1377825974.08,5.6
3/11/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,5667218.0,891226702.68,3.62
3/11/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,3107983.0,846552409.54,3.44
3/11/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2715763.0,779315350.48,3.17
3/11/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5648792.0,756260272.96,3.07
3/11/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,644367.0,736021762.08,2.99
3/11/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2037094.0,723514675.98,2.94
3/11/2021,ARKK,INVITAE CORP,NVTA,46185L103,16243844.0,697185784.48,2.83
3/11/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,4830634.0,635373290.02,2.58
3/11/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1450909.0,543002693.25,2.21
3/11/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,5082093.0,541751113.8,2.2
3/11/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2202513.0,496049977.86,2.02
3/11/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,19839002.0,451138905.48,1.83
3/11/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2936348.0,426768818.32,1.73
3/11/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,11682538.0,415431051.28,1.69
3/11/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,6008215.0,396361943.55,1.61
3/11/2021,ARKK,PROTO LABS INC,PRLB,743713109,2893478.0,392355616.8,1.59
3/11/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,4266357.0,380900352.96,1.55
3/11/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,6288214.0,373897204.44,1.52
3/11/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2042644.0,336280481.72,1.37
3/11/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4800790.0,333126818.1,1.35
3/11/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,7636210.0,318429957.0,1.29
3/11/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,2703978.0,311498265.6,1.27
3/11/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,70450Y103,1191851.0,302527539.33,1.23
3/11/2021,ARKK,2U INC,TWOU,90214J101,7495643.0,302823977.2,1.23
3/11/2021,ARKK,PAGERDUTY INC,PD,69553P100,7027865.0,292780855.9,1.19
3/11/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,6193268.0,293065441.76,1.19
3/11/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,10793347.0,288506165.31,1.17
3/11/2021,ARKK,SEA LTD-ADR,SE,81141R100,1192251.0,282313114.29,1.15
3/11/2021,ARKK,PACCAR INC,PCAR,693718108,2770335.0,270800246.25,1.1
3/11/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,1089808.0,268288933.44,1.09
3/11/2021,ARKK,TWITTER INC,TWTR,90184L102,3709917.0,253980917.82,1.03
3/11/2021,ARKK,VERACYTE INC,VCYT,92337F107,4505095.0,239490850.2,0.97
3/11/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,6752954.0,239729867.0,0.97
3/11/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,2781193.0,235678294.82,0.96
3/11/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,5367003.0,228419647.68,0.93
3/11/2021,ARKK,SYNOPSYS INC,SNPS,871607107,947375.0,221932067.5,0.9
3/11/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,2307604.0,218437794.64,0.89
3/11/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,2094708.0,204569183.28,0.83
3/11/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,431231.0,202661320.76,0.82
3/11/2021,ARKK,STRATASYS LTD,SSYS,M85548101,6025076.0,169545638.64,0.69
3/11/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,7479470.0,169783969.0,0.69
3/11/2021,ARKK,HUYA INC-ADR,HUYA,44852D108,6401525.0,168232077.0,0.68
3/11/2021,ARKK,TERADYNE INC,TER,880770102,1286246.0,146451969.56,0.6
3/11/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1925530.0,128837212.3,0.52
3/11/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,1765203.0,126406186.83,0.51
3/11/2021,ARKK,CERUS CORP,CERS,157085101,17738630.0,115655867.6,0.47
3/11/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,2080071.0,115339936.95,0.47
3/11/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,9332660.0,86047125.2,0.35
3/11/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,4705077.0,43757216.1,0.18
3/11/2021,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,56896.0,6860519.68,0.03
3/11/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,68620A203,123609.0,1469711.01,0.01
3/11/2021,ARKQ,TESLA INC,TSLA,88160R101,530830.0,371368668.0,10.77
3/11/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,699600.0,190557048.0,5.53
3/11/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2406175.0,178610370.25,5.18
3/11/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1906686.0,171620806.86,4.98
3/11/2021,ARKQ,DEERE & CO,DE,244199105,429519.0,156542494.74,4.54
3/11/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,5113483.0,137808366.85,4.0
3/11/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,63180.0,133611168.6,3.88
3/11/2021,ARKQ,TERADYNE INC,TER,880770102,1133370.0,129045508.2,3.74
3/11/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,630405.0,118831342.5,3.45
3/11/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3590665.0,113141854.15,3.28
3/11/2021,ARKQ,CATERPILLAR INC,CAT,149123101,433115.0,95181352.4,2.76
3/11/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,269445.0,91538549.85,2.66
3/11/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,211263.0,82574256.18,2.4
3/11/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,157638.0,81930774.12,2.38
3/11/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1935152.0,80695838.4,2.34
3/11/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1810320.0,77047219.2,2.23
3/11/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,6875352.0,76316407.2,2.21
3/11/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,1864941.0,74634938.82,2.16
3/11/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,572967.0,70091053.11,2.03
3/11/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1323542.0,68943302.78,2.0
3/11/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,567655.0,68447839.9,1.99
3/11/2021,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,3895549.0,68172107.5,1.98
3/11/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,707997.0,64895005.02,1.88
3/11/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,257077.0,60222858.02,1.75
3/11/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,79035.0,57853620.0,1.68
3/11/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,1688652.0,56704934.16,1.64
3/11/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,1167274.0,49562454.04,1.44
3/11/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,497484.0,44415371.52,1.29
3/11/2021,ARKQ,2U INC,TWOU,90214J101,1063257.0,42955582.8,1.25
